consecutivo,folioviv,ic_rezedu,ic_asalud,ic_segsoc,trab,jedad,muj15a49,exc_lengua,depecon,dormi,num_ind,hacina,ing_mon,ing_trab,ing_negp,ing_rent,ing_tran,rururb,intt,intpc,teneciareg,locurbana,paredsol,techosol,lningtot
325,019035,1,0,3,1,68,0,0,2,2,5,2.50,3462.84,564.85,0.00,0.00,2897.99,1,4269.41,853.88,1,0,1.00,1.00,8.36
326,019036,0,0,0,1,57,0,0,0,3,2,0.67,5543.23,0.00,4512.38,0.00,1030.85,0,7559.66,3779.83,1,1,1.00,1.00,8.93
327,019037,0,0,0,0,20,0,0,0,1,1,1.00,4177.16,0.00,0.00,0.00,4177.16,0,3774.16,3774.16,1,1,1.00,1.00,8.24
328,019038,0,0,0,1,27,0,0,0,2,1,0.50,5912.93,5912.93,0.00,0.00,0.00,0,7324.88,7324.88,1,1,1.00,1.00,8.90
329,019040,0,0,0,1,63,0,0,0,2,1,0.50,11991.68,11991.68,0.00,0.00,0.00,0,11991.68,11991.68,1,1,1.00,1.00,9.39
330,021001,3,1,1,3,21,0,0,0,1,4,4.00,12404.71,12386.58,0.00,0.00,0.00,0,12404.71,3101.18,1,1,1.00,1.00,9.43
331,021002,1,1,1,1,70,0,0,1,3,3,1.00,8160.87,0.00,3154.20,3004.00,2002.67,0,10155.39,3385.13,1,1,1.00,1.00,9.23
332,021003,6,0,7,1,65,0,2,1,9,7,0.78,5051.24,3892.09,158.52,0.00,1000.63,0,6048.50,864.07,1,1,1.00,1.00,8.71
333,021004,1,0,1,1,51,0,0,0,1,1,1.00,3055.84,3055.84,0.00,0.00,0.00,0,3055.84,3055.84,1,1,1.00,1.00,8.02
334,021005,3,3,3,2,33,0,0,1,1,3,3.00,4608.92,4608.92,0.00,0.00,0.00,0,4608.92,1536.31,1,1,1.00,1.00,8.44
335,021006,2,0,2,2,34,1,0,1,1,4,4.00,4699.22,4699.22,0.00,0.00,0.00,1,5451.82,1362.96,1,0,0.00,1.00,8.60
336,021007,3,1,1,3,40,2,0,2,1,9,9.00,6005.23,6005.23,0.00,0.00,0.00,1,7753.54,861.50,1,0,1.00,1.00,8.96
